date,calls,p_c_ratio,puts,total
2007-12-04,1450033,1.08,1562495,3012528
2007-12-05,1644664,0.89,1465795,3110459
2007-12-06,1848774,0.88,1634921,3483695
2007-12-07,1550360,0.99,1532965,3083325
2007-12-10,1683617,0.96,1623076,3306693
2007-12-11,2242063,1.1,2468697,4710760
2007-12-12,2044421,0.99,2016508,4060929
2007-12-13,1778520,1.06,1882324,3660844
2007-12-14,1591550,1.06,1685050,3276600
2007-12-17,2025168,1.11,2255837,4281005
2007-12-18,2411238,1.04,2512238,4923476
2007-12-19,2052220,1.14,2339611,4391831
2007-12-20,3552303,0.68,2413979,5966282
2007-12-21,4053216,0.59,2383960,6437176
2007-12-24,1013523,0.89,906263,1919786
2007-12-26,1399332,0.9,1253953,2653285
2007-12-27,1338823,0.98,1310913,2649736
2007-12-28,1267041,0.97,1225127,2492168
2007-12-31,1270401,1.05,1328315,2598716
2008-01-02,1761010,1.16,2041037,3802047
2008-01-03,1851093,1.01,1867378,3718471
2008-01-04,2952136,1.05,3092837,6044973
2008-01-07,2136175,1.04,2212817,4348992
2008-01-08,2284272,1.47,3359739,5644011
2008-01-09,2896332,1.15,3324989,6221321
2008-01-10,2632780,0.97,2557770,5190550
2008-01-11,2414054,0.93,2237896,4651950
2008-01-14,2233276,0.95,2115486,4348762
2008-01-15,2581502,1.25,3226813,5808315
2008-01-16,3236710,1.19,3866053,7102763
2008-01-17,3083251,1.5,4634596,7717847
2008-01-18,3008991,1.34,4035964,7044955
2008-01-22,2704708,1.18,3191597,5896305
2008-01-23,3377162,1.13,3821662,7198824
2008-01-24,2785515,0.88,2459444,5244959
2008-01-25,2182988,1.06,2310709,4493697
2008-01-28,1783623,0.92,1640707,3424330
2008-01-29,1989846,0.9,1799552,3789398
2008-01-30,2520702,0.81,2050033,4570735
2008-01-31,2328210,0.96,2239673,4567883
2008-02-01,2674724,0.81,2161350,4836074
2008-02-04,1721043,0.94,1624499,3345542
2008-02-05,1942645,1.15,2230010,4172655
2008-02-06,1830066,1.06,1945822,3775888
2008-02-07,2271611,1.12,2543076,4814687
2008-02-08,1753631,1.13,1979157,3732788
2008-02-11,1946600,0.96,1867187,3813787
2008-02-12,2431888,1.13,2758945,5190833
2008-02-13,2048760,0.97,1993162,4041922
2008-02-14,2202114,1.01,2214076,4416190
2008-02-15,2084809,1.15,2395698,4480507
2008-02-19,1937409,1.01,1955385,3892794
2008-02-20,1819543,0.85,1548141,3367684
2008-02-21,1637538,0.96,1574931,3212469
2008-02-22,1629710,1.15,1869833,3499543
2008-02-25,1657605,0.93,1535329,3192934
2008-02-26,1992955,1.07,2122609,4115564
2008-02-27,1579681,1.09,1722851,3302532
2008-02-28,1486156,1.24,1837496,3323652
2008-02-29,1837915,1.28,2360633,4198548
2008-03-03,1617613,1.23,1991760,3609373
